lon_grid,lat_grid,year,fatalities,n_events
19.3,44.1,1995,5186,9
18.4,43.9,1995,449,124
15.8,45.2,1995,383,112
16.7,44.8,1995,327,3
17.1,44.4,1995,292,4
15.9,44.8,1995,279,99
16.2,44.9,1995,215,78
16.4,44.6,1995,174,4
18.8,44.6,1995,169,28
18.3,44.6,1995,130,5
17.3,44.3,1995,125,6
17.7,44.3,1995,117,30
18.7,44.5,1995,105,8
18.7,45,1995,86,25
18.8,44.9,1995,67,17
16.8,45.2,1995,56,4
16.4,44.2,1995,50,24
18.4,43.6,1995,47,10
16.8,44,1995,42,10
18,44,1995,39,5
18.4,43.7,1995,36,19
18.1,44.4,1995,35,7
19,43.7,1995,34,16
17.7,44.2,1995,33,2
17,43.8,1995,27,21
18.4,43.8,1995,27,8
18.3,44,1995,26,6
18.5,45.1,1995,25,14
18.3,43.8,1995,24,8
18.1,44.5,1995,23,3
17.4,44.1,1995,22,4
16,45.2,1995,20,3
16.4,44.4,1995,20,6
16.1,44.6,1995,15,1
19.1,44,1995,12,1
16,45.1,1995,11,4
18.7,44.6,1995,10,1
18.9,44.6,1995,10,1
17.2,45.1,1995,9,3
16.6,44.7,1995,8,2
18.3,43.9,1995,7,3
18.4,44.9,1995,6,2
17.8,44.2,1995,5,1
18,43.3,1995,5,1
18,44.4,1995,5,1
18.1,44.7,1995,5,3
27.1,38.4,1995,5,1
18,44.7,1995,4,2
18.3,45.1,1995,4,2
18.9,44.4,1995,4,1
16.7,45,1995,3,1
18,44.6,1995,3,2
18.5,44.5,1995,3,1
19,44.6,1995,3,1
15.8,45.1,1995,2,2
15.9,45.2,1995,2,1
16.4,44.1,1995,2,2
16.5,45,1995,2,1
16.7,45.1,1995,2,1
17.8,43.3,1995,2,1
17.9,44.2,1995,2,1
18.3,42.7,1995,2,1
18.8,44.8,1995,2,1
15.8,44.9,1995,1,1
15.9,45,1995,1,1
16.2,45,1995,1,1
16.4,45,1995,1,1
16.7,44.1,1995,1,1
16.9,45.3,1995,1,1
17.3,45.2,1995,1,1
18,43.1,1995,1,1
18,43.7,1995,1,1
18,43.9,1995,1,1
18.2,42.7,1995,1,1
18.2,43.8,1995,1,1
18.3,44.7,1995,1,1
18.4,44.6,1995,1,1
18.5,45,1995,1,1
18.6,44.4,1995,1,1
19,44.5,1995,1,1
18.5,43.7,1995,0,1
21.2,42.9,1996,2,1
-0.1,51.5,1996,1,1
20.9,42.9,1996,0,1
21,42.4,1996,0,1
20.3,42.5,1997,3,1
21,42.8,1997,3,1
20.5,42.6,1997,1,1
27.4,37,1997,1,1
21,42.6,1998,928,22
20.7,42.4,1998,43,5
20.3,42.5,1998,36,16
20.5,42.2,1998,35,4
20.9,42.6,1998,33,5
20.1,42.5,1998,29,2
20.2,42.5,1998,27,6
21.7,42.9,1998,10,1
20.7,42.7,1998,9,3
20.6,42.2,1998,8,4
20.8,42.6,1998,8,5
20.3,42.7,1998,7,2
20.4,42.5,1998,7,2
-3.1,30.2,1998,6,1
20.9,42.8,1998,6,3
21,42.3,1998,4,3
20.2,42.4,1998,3,1
20.3,42.6,1998,3,3
20.6,42.7,1998,3,1
20.7,42.5,1998,3,4
20.8,42.4,1998,3,4
21,42.4,1998,3,2
21,42.5,1998,3,2
29.1,37.8,1998,3,1
20.1,42.6,1998,2,1
20.3,42.4,1998,2,4
20.7,42.6,1998,2,4
20.9,42.4,1998,2,2
20.9,42.9,1998,2,1
21.1,42.7,1998,2,2
21.2,42.7,1998,2,4
20.4,42.4,1998,1,4
20.4,42.6,1998,1,1
20.5,42.5,1998,1,4
20.5,42.6,1998,1,3
20.6,42.6,1998,1,2
20.7,42.2,1998,1,4
20.9,43,1998,1,1
21,43,1998,1,1
21.2,42.8,1998,1,1
21.2,42.9,1998,1,2
20.4,42.7,1998,0,1
20.5,42.3,1998,0,1
20.8,42.5,1998,0,2
20.8,42.8,1998,0,1
20.9,42.7,1998,0,1
21,42.8,1998,0,1
21.1,42.5,1998,0,2
21.1,42.6,1998,0,1
21.2,42.3,1998,0,1
21.3,42.2,1998,0,1
21.7,43.4,1998,0,1
21,44,1999,649,3
20.8,42.3,1999,87,1
20.4,42.4,1999,82,12
21.3,42.2,1999,48,4
21.2,42.8,1999,41,8
22.2,42.7,1999,34,2
21.9,43.3,1999,30,7
20.6,42.3,1999,29,6
20.5,44.8,1999,25,4
20.5,42.8,1999,23,2
20.1,42.4,1999,20,6
22.1,42.9,1999,20,1
20.7,42.2,1999,18,6
20.3,42.8,1999,17,2
20.2,42.5,1999,16,8
21,42.4,1999,16,7
21.2,42.7,1999,16,8
21.7,43.5,1999,13,2
21,42.6,1999,12,26
20.5,43.1,1999,11,1
20.9,42.4,1999,10,4
20.4,42.5,1999,9,5
21.4,43.7,1999,9,1
21.1,42.4,1999,8,4
21.7,42.3,1999,8,1
20.9,42.8,1999,7,11
19.9,42.7,1999,6,1
20.9,42.6,1999,6,4
21.3,42.9,1999,6,2
21.4,42.4,1999,6,2
20.3,43.9,1999,5,3
20.9,42.9,1999,5,9
21.5,42.5,1999,5,1
20.3,42.5,1999,4,7
20.3,42.7,1999,4,2
20.6,42.2,1999,4,2
20.6,42.5,1999,4,1
21.1,42.5,1999,4,2
21.9,42.5,1999,4,3
19.6,43.7,1999,3,1
20.4,42.6,1999,3,2
20.6,44.6,1999,3,1
20.7,44.8,1999,3,1
20.8,42.2,1999,3,2
20.9,42.1,1999,3,1
21.2,42.2,1999,3,2
21.9,42.6,1999,3,3
27.5,38.2,1999,3,1
20.2,42.4,1999,2,2
20.4,42.8,1999,2,2
20.4,44.8,1999,2,2
20.5,42.4,1999,2,1
20.8,42.5,1999,2,7
21,43.6,1999,2,1
21.2,42.3,1999,2,3
21.2,43,1999,2,4
21.4,42.3,1999,2,1
21.8,43,1999,2,1
21.8,43.4,1999,2,1
21.9,43,1999,2,1
22.1,42.7,1999,2,1
19.1,42.5,1999,1,1
19.1,45.8,1999,1,1
19.3,42.4,1999,1,1
19.6,45,1999,1,1
19.7,46.1,1999,1,1
19.8,45.3,1999,1,2
19.9,44.3,1999,1,1
20,44.3,1999,1,1
20.2,44.6,1999,1,1
20.3,42.9,1999,1,1
20.3,44.7,1999,1,1
20.3,44.9,1999,1,1
20.4,42.7,1999,1,5
20.5,44.6,1999,1,1
20.7,42.4,1999,1,2
20.8,42.6,1999,1,2
20.8,42.7,1999,1,2
20.8,42.8,1999,1,3
20.9,42.2,1999,1,2
20.9,42.7,1999,1,3
21,42.7,1999,1,1
21,42.8,1999,1,3
21.2,42.9,1999,1,7
21.3,42.1,1999,1,2
21.3,42.8,1999,1,3
21.3,43.1,1999,1,2
21.4,42.5,1999,1,1
21.4,42.8,1999,1,1
21.4,43.9,1999,1,1
21.6,42.8,1999,1,1
21.7,42.9,1999,1,1
21.8,43.2,1999,1,1
22.1,44.1,1999,1,1
20.2,42.8,1999,0,1
20.3,42.2,1999,0,1
20.5,42.2,1999,0,1
20.5,42.5,1999,0,1
20.5,42.7,1999,0,1
20.6,42.1,1999,0,1
20.6,42.7,1999,0,1
20.7,42.3,1999,0,1
20.7,42.5,1999,0,6
20.7,42.7,1999,0,1
20.7,42.8,1999,0,1
20.8,42.4,1999,0,1
20.9,42.5,1999,0,1
20.9,43,1999,0,3
21,42.5,1999,0,1
21,43,1999,0,3
21.1,42.8,1999,0,1
21.1,42.9,1999,0,3
21.1,43,1999,0,2
21.1,43.1,1999,0,1
21.6,42,2000,3,1
21,42,2001,24,14
21.7,42.2,2001,11,6
21.4,42.2,2001,8,6
22,41.8,2001,8,2
21.4,42,2001,6,3
21.6,42,2001,6,4
20.9,41.8,2001,5,2
20.7,41.7,2001,1,1
21.1,42.1,2001,1,1
21.6,42.2,2001,1,4
21.7,42.1,2001,1,2
20.9,42,2001,0,1
21,42.1,2001,0,1
21.1,42.2,2001,0,1
21.3,42.1,2001,0,2
21.6,42.1,2001,0,4
37.6,55.8,2002,155,1
-0.6,38.2,2002,2,1
-3.1,30.2,2004,1,1
37.6,55.8,2004,0,1
27.3,37.9,2005,7,3
37.7,55.5,2005,1,1
37.6,55.8,2006,1,1
37.7,55.5,2007,0,1
-3.1,30.2,2008,0,1
33.7,58.1,2009,27,1
30.3,59.9,2009,2,1
27.6,37.1,2011,1,1
36.3,55.5,2012,6,1
27.5,38.2,2012,2,1
39,55.8,2013,2,1
30.5,50.5,2014,88,6
38.3,49.9,2014,1,1
30.3,59.9,2016,4,1
37.9,55.8,2016,3,1
44,56.3,2016,3,2
28.4,37.2,2016,2,1
28.5,37.2,2017,5,1
27.5,38.2,2017,4,1
27.4,37,2017,1,1
27.4,38.6,2018,1,1
44,56.3,2018,1,1
-0.1,51.5,2019,1,1
33.1,69,2020,1,1
35,57,2021,1,1
32,49,2022,28819,437
30.5,51,2022,883,1
31.3,51.5,2022,555,53
36.5,49.5,2022,555,102
30.5,50.5,2022,446,41
30.2,50.6,2022,440,21
30.1,50.2,2022,398,14
36.3,50,2022,392,99
30.2,50.5,2022,248,18
34.9,50.3,2022,166,16
23.5,50,2022,138,1
30.3,50.2,2022,120,4
36.3,50.2,2022,105,5
30.8,50.9,2022,90,4
36.9,49.5,2022,76,22
36,50.3,2022,58,22
32,51.3,2022,55,23
29.9,50.6,2022,53,6
37.7,49.7,2022,52,10
36.7,49.8,2022,34,17
34.8,50.9,2022,33,8
28.5,49.2,2022,29,1
36.1,50.1,2022,29,19
37.5,49.9,2022,28,11
36.1,49.8,2022,27,2
37.6,49.7,2022,27,19
29.8,50.5,2022,24,5
30.7,46.5,2022,24,10
30.8,50.5,2022,23,6
33.4,49.1,2022,22,2
34,51,2022,22,15
26.4,50.6,2022,21,1
37.9,49.7,2022,21,11
29.5,51,2022,20,1
29.7,47.7,2022,18,1
36.2,50.2,2022,17,10
36.5,50,2022,16,6
30.2,45.3,2022,14,4
36.8,49.8,2022,13,11
28.5,50.6,2022,12,6
36.1,50.3,2022,12,6
36.2,50.3,2022,12,5
36.4,50.1,2022,12,9
36.8,49.5,2022,12,6
36.8,49.7,2022,12,4
38.3,49.9,2022,12,2
31.3,51.3,2022,11,5
31.3,51.6,2022,11,10
36.6,49.4,2022,11,3
28.6,49.2,2022,10,1
29,50.1,2022,10,2
30,50.4,2022,10,4
31.9,51,2022,10,5
32.4,48.6,2022,10,2
36.8,49.4,2022,10,5
36.8,50.1,2022,10,5
28.7,50.3,2022,9,3
29.3,50.8,2022,9,5
31.2,51.5,2022,9,6
36.9,50.3,2022,9,7
30.1,51.1,2022,8,1
30.2,50.4,2022,8,1
30.4,50.7,2022,8,2
34.1,52.2,2022,8,1
35,50.5,2022,8,6
36.1,50.2,2022,8,4
36.1,50.4,2022,8,5
36.2,49.4,2022,8,1
36.3,50.1,2022,8,7
36.9,49.9,2022,8,8
24,49.8,2022,7,1
29.1,51.2,2022,7,3
29.9,50.5,2022,7,1
30.4,50.3,2022,7,1
30.9,51.3,2022,7,7
32.4,50.6,2022,7,4
36.5,50.5,2022,7,1
36.9,50.4,2022,7,4
37.2,49.7,2022,7,4
37.5,50.8,2022,7,4
28.6,51,2022,6,3
28.7,50.2,2022,6,1
30.3,50.6,2022,6,3
31.3,51.4,2022,6,4
31.4,51.5,2022,6,5
32.1,49.4,2022,6,5
33.1,48.7,2022,6,1
34.5,50.8,2022,6,2
36.4,50.3,2022,6,2
36.5,49.9,2022,6,3
36.6,50.6,2022,6,2
36.7,50.2,2022,6,4
30.8,50.1,2022,5,1
31.2,51.4,2022,5,2
31.5,50.9,2022,5,1
32.3,48.5,2022,5,1
35.9,50.4,2022,5,3
36.9,49.7,2022,5,3
37,49.6,2022,5,1
37.7,49.9,2022,5,3
25.4,50.8,2022,4,1
26.6,51.3,2022,4,1
28.5,50.8,2022,4,1
29.9,50.4,2022,4,2
30.3,50.4,2022,4,1
30.3,50.7,2022,4,4
30.5,50.6,2022,4,1
31,50.6,2022,4,2
31.2,50.6,2022,4,2
31.3,47.6,2022,4,2
31.9,51.1,2022,4,1
32.4,51.8,2022,4,4
32.9,51,2022,4,3
33,53,2022,4,1
33.3,52,2022,4,2
34.5,51.2,2022,4,2
35.2,48.9,2022,4,2
35.5,50.2,2022,4,3
36.2,49.9,2022,4,3
36.6,49.5,2022,4,3
37.7,49.8,2022,4,2
28.1,49,2022,3,1
29.4,51.2,2022,3,1
29.5,50.8,2022,3,1
30.2,50.2,2022,3,1
30.8,50.6,2022,3,1
30.8,51.5,2022,3,1
31.2,50.4,2022,3,2
31.4,51.4,2022,3,3
32.6,52.2,2022,3,2
32.7,50.8,2022,3,1
35.5,50.4,2022,3,3
36.2,50.4,2022,3,2
36.3,50.3,2022,3,3
36.9,49.8,2022,3,2
39.6,54.6,2022,3,1
27.3,49.7,2022,2,2
28.3,49.5,2022,2,1
28.5,50.4,2022,2,2
28.8,49.7,2022,2,1
29,51.2,2022,2,1
29.6,50.7,2022,2,2
30.2,48.8,2022,2,2
30.4,50.5,2022,2,1
30.4,50.6,2022,2,2
30.7,47.8,2022,2,1
30.7,50.2,2022,2,1
31.1,50.7,2022,2,1
31.1,51.5,2022,2,2
31.2,50.5,2022,2,1
31.2,50.7,2022,2,2
31.5,47.2,2022,2,1
31.5,50.6,2022,2,2
31.7,49.2,2022,2,2
32,50.2,2022,2,2
32,50.9,2022,2,1
32.1,49,2022,2,2
32.1,50.9,2022,2,2
