country,fe_value,se,z,p_value
GR,1.68696,0.1005,16.786,0
FR,0.90106,0.07645,11.786,0
PL,0.90067,0.09015,9.991,0
NO,0.86045,0.1073,8.019,0
EE,0.7903,0.11351,6.963,0
HR,0.7672,0.08347,9.191,0
RO,0.4672,0.10351,4.514,0
LV,0.44759,0.09929,4.508,0
BG,0.43807,0.13138,3.334,9e-4
PT,0.42469,0.06806,6.24,0
SK,0.41163,0.09391,4.383,0
FI,0.40231,0.08599,4.679,0
DK,0.39748,0.08626,4.608,0
IT,0.37663,0.07273,5.179,0
NL,0.31277,0.08079,3.872,1e-4
ES,0.2396,0.06905,3.47,5e-4
LT,0.23111,0.0971,2.38,0.0173
CZ,0.2112,0.09807,2.153,0.0313
DE,0.16857,0.0733,2.3,0.0215
HU,0.16302,0.07813,2.087,0.0369
SI,0.15015,0.08463,1.774,0.076
BE,0,NA,NA,NA
