model,type,n_obs,log_lik_val,aic_val,rho,rho_se,rho_p
M1: Pooled OLS,Pooled OLS,529,NA,NA,NA,NA,NA
M10a: SAR no Finland,SAR,465,24.4,61.19,0.2211,0.0423,0
M10b: SAR post-2014,SAR,220,25.33,31.35,0.0823,0.0634,0.1943
M10c: SAR pre-2014,SAR,297,125.98,-157.96,0.0192,0.0491,0.6958
M12: SAR lagged DV,SAR,495,182.5,-251,0.0609,0.0344,0.0767
M13: GPR SAR,SAR (GPR),377,209.6,-327.19,-0.2099,0.0458,0
M2: Country FE,Country FE,529,NA,NA,NA,NA,NA
M3: Two-way FE,Two-way FE,529,NA,NA,NA,NA,NA
M4: FE + Regime,Two-way FE,529,NA,NA,NA,NA,NA
M5: SAR,SAR,517,40.2,33.61,0.1771,0.0385,0
M6: SEM,SEM,517,38.45,37.1,0.1801,0.0406,0
M7: SAR + Regime,SAR,517,44.67,30.66,0.1526,0.0389,1e-4
M8: SAR Robust threat,SAR,517,47.55,18.9,0.1641,0.0386,0
