lon_grid,lat_grid,year,fatalities,n_events
19.3,44.1,1995,5186,9
62.5,32.5,1995,1400,4
69.2,34.5,1995,1057,60
3,28,1995,773,49
45.7,43.3,1995,680,118
2.2,36.2,1995,622,8
15.7,45.2,1995,516,6
18.4,43.9,1995,449,124
46.1,43.4,1995,407,4
15.8,45.2,1995,383,112
16.7,44.8,1995,327,3
74.8,34.2,1995,304,51
17.1,44.4,1995,292,4
39.5,39.1,1995,280,33
15.9,44.8,1995,279,99
3.1,36.8,1995,240,41
69.1,34.4,1995,226,4
16.2,44.9,1995,215,78
42.5,37.9,1995,207,30
47.4,31,1995,201,1
44,36.2,1995,200,1
62.1,33.3,1995,200,1
62.3,33.4,1995,200,1
62.5,31,1995,200,1
64.5,32.5,1995,200,1
44.1,37.5,1995,199,33
69.2,34.4,1995,193,8
68.9,34.4,1995,181,9
-15.5,12.8,1995,175,6
16.4,44.6,1995,174,4
18.8,44.6,1995,169,28
43.6,37.3,1995,151,28
16.2,44,1995,142,7
44.1,44.8,1995,132,3
69,35.5,1995,132,6
18.3,44.6,1995,130,5
69.4,34.4,1995,130,2
17.3,44.3,1995,125,6
42.4,38.3,1995,125,18
42.6,37.4,1995,125,40
67.7,36,1995,125,6
17.2,45.3,1995,118,18
30,15,1995,118,1
17.7,44.3,1995,117,30
68.8,36.8,1995,112,3
44.6,37.3,1995,110,20
72.2,37.7,1995,106,3
18.7,44.5,1995,105,8
40.4,38.4,1995,96,8
42.6,36.2,1995,96,25
46.4,43.3,1995,91,1
42.5,37.2,1995,88,14
39.2,39.1,1995,87,10
68.9,35.5,1995,87,1
18.7,45,1995,86,25
1.2,36.2,1995,84,12
3.1,36.6,1995,84,1
40.5,38,1995,80,9
68,34.2,1995,80,1
38.9,39.1,1995,77,9
74.8,34.1,1995,77,18
40.8,39.1,1995,74,22
-16.5,12.4,1995,69,5
3.2,36.8,1995,69,14
18.8,44.9,1995,67,17
40.7,38.5,1995,65,18
63.4,32.2,1995,65,3
4.8,36.1,1995,63,2
43.2,37,1995,62,1
3,36.6,1995,61,19
47.2,30.3,1995,61,2
40.1,38.4,1995,58,7
41.2,38.3,1995,57,5
16.8,45.2,1995,56,4
73,38,1995,56,2
6.7,36.3,1995,55,12
41.2,37.1,1995,55,11
64.1,29.5,1995,53,1
67,24.9,1995,52,3
16.4,44.2,1995,50,24
62.6,32.8,1995,50,2
62.8,32.8,1995,50,1
71.1,38.9,1995,50,4
4.3,36.8,1995,48,4
18.4,43.6,1995,47,10
43.6,37.2,1995,47,2
69,35.3,1995,47,6
69,35.8,1995,47,2
45.2,43.2,1995,46,9
46.4,43.2,1995,46,3
66.9,36.3,1995,46,3
0.9,35.8,1995,45,12
6,36.8,1995,44,13
16.8,44,1995,42,10
39.8,39.2,1995,42,12
49.9,40.4,1995,42,3
70.4,39,1995,42,9
-0.5,35.7,1995,41,7
44.1,35.8,1995,41,1
45.9,43.1,1995,41,2
46.3,43.1,1995,41,1
18,44,1995,39,5
40.3,39.3,1995,39,5
41.4,38.3,1995,39,13
43.2,39.7,1995,39,10
45.3,43.3,1995,39,3
2.4,36.6,1995,38,12
7.1,35.8,1995,38,6
44.3,37.6,1995,38,12
5.9,35.5,1995,37,8
40.4,38.7,1995,37,2
65,34,1995,37,3
-0.5,34.8,1995,36,5
18.4,43.7,1995,36,19
18.1,44.4,1995,35,7
42.2,37.7,1995,35,14
43.7,38.4,1995,35,11
43.9,37.3,1995,35,2
69.3,34.4,1995,35,1
19,43.7,1995,34,16
3.7,36.8,1995,33,12
17.7,44.2,1995,33,2
41.4,38.1,1995,33,10
74.6,34.2,1995,33,2
3.1,36.7,1995,32,14
40.1,39.2,1995,32,8
71,39,1995,32,2
74.2,34.4,1995,32,10
2.8,36.3,1995,31,5
46,43.1,1995,31,2
71.6,37.5,1995,31,2
3,36.1,1995,30,5
40.6,38.8,1995,30,10
45.8,43.2,1995,30,1
67.8,33.3,1995,30,2
41,38.5,1995,29,9
42.3,37.4,1995,29,6
47,32,1995,29,1
67.4,35.9,1995,29,4
74.4,34.2,1995,29,9
2.8,36.5,1995,28,7
40.2,37.9,1995,28,7
0.1,35.6,1995,27,2
17,43.8,1995,27,21
18.4,43.8,1995,27,8
30.8,27.7,1995,27,10
41.5,38.2,1995,27,4
67.3,36.1,1995,27,2
67.8,34.8,1995,27,2
18.3,44,1995,26,6
39.2,39.4,1995,26,8
18.5,45.1,1995,25,14
30.7,28.4,1995,25,9
39.1,39,1995,25,1
39.6,39,1995,25,8
64.9,35.3,1995,25,1
-16.3,12.4,1995,24,2
-0.6,35.7,1995,24,2
4.3,35.3,1995,24,3
9.8,26.5,1995,24,1
18.3,43.8,1995,24,8
41.9,38.4,1995,24,6
43.1,40.2,1995,24,6
61.9,31,1995,24,1
63.8,35,1995,24,1
65.6,35.5,1995,24,1
69.6,34.5,1995,24,1
-1.4,34.7,1995,23,5
12.6,13.3,1995,23,1
18.1,44.5,1995,23,3
30.7,28.3,1995,23,7
34.9,32.3,1995,23,1
40.9,37.4,1995,23,8
44.2,37.9,1995,23,2
75.2,33.8,1995,23,8
76.7,33.9,1995,23,5
3.9,36.2,1995,22,7
17.4,44.1,1995,22,4
42.3,37.9,1995,22,9
42.9,37.4,1995,22,9
72,36.8,1995,22,1
0.2,35.4,1995,21,4
0.3,36,1995,21,5
39.3,38.9,1995,21,6
39.5,39.3,1995,21,1
43.4,37.5,1995,21,1
6.8,36.8,1995,20,7
16,45.2,1995,20,3
16.4,44.4,1995,20,6
46,31,1995,20,1
46,43.2,1995,20,1
68.9,36.7,1995,20,3
69.3,34.5,1995,20,1
5.8,36.8,1995,19,5
42,38.1,1995,19,3
74.2,34.5,1995,19,3
3,36.8,1995,18,8
41,38.1,1995,18,5
69.4,34.5,1995,18,2
35.5,33.4,1995,17,12
40.4,39.8,1995,17,2
41,37.6,1995,17,1
46.1,43,1995,17,3
65.6,28.5,1995,17,1
42.1,38.4,1995,16,6
45,34.7,1995,16,1
47.6,42.8,1995,16,2
65.9,35.4,1995,16,4
16.1,44.6,1995,15,1
41.9,37.9,1995,15,4
42,37.6,1995,15,1
44.4,37.2,1995,15,1
45.5,43.1,1995,15,4
68.8,38.6,1995,15,7
75,33.6,1995,15,2
3,36,1995,14,1
41.3,38.3,1995,14,2
42.6,37.9,1995,14,3
74.7,33.9,1995,14,4
-16.3,12.6,1995,13,3
1.6,34.9,1995,13,5
30.8,27.8,1995,13,7
42.5,37.5,1995,13,4
43.9,39.4,1995,13,3
44.3,39.9,1995,13,1
44.4,37.7,1995,13,1
46.1,43.2,1995,13,3
74.1,34,1995,13,2
75.2,33.7,1995,13,4
3.7,32.5,1995,12,2
16,45.8,1995,12,4
19.1,44,1995,12,1
34.4,31.4,1995,12,3
40.9,38.5,1995,12,2
41.9,37.5,1995,12,5
42.2,37.5,1995,12,3
43.1,37.2,1995,12,1
43.2,37.6,1995,12,3
44.1,43.5,1995,12,1
64.4,33.5,1995,12,1
68.6,34.5,1995,12,1
3.3,36.8,1995,11,2
16,45.1,1995,11,4
30.8,28.7,1995,11,6
31.2,30,1995,11,3
35.5,33.2,1995,11,7
43.7,37.7,1995,11,1
44,37.4,1995,11,1
44.1,37.4,1995,11,3
44.4,33.3,1995,11,7
67.7,34.8,1995,11,1
69.2,34.6,1995,11,1
75.7,33,1995,11,2
0.1,35.4,1995,10,1
0.6,35.7,1995,10,1
4,36.7,1995,10,3
6.8,36.4,1995,10,1
18.7,44.6,1995,10,1
18.9,44.6,1995,10,1
30.8,27.9,1995,10,5
41.8,38.5,1995,10,2
66.6,35.5,1995,10,2
69.2,34,1995,10,1
70.4,39.2,1995,10,3
17.2,45.1,1995,9,3
35.5,33.3,1995,9,3
35.5,33.5,1995,9,3
35.6,33.4,1995,9,5
37.7,37.7,1995,9,2
40.5,38.9,1995,9,4
41,39.6,1995,9,1
41.1,37.9,1995,9,4
41.4,37.6,1995,9,3
41.9,38.2,1995,9,2
43.6,37.7,1995,9,1
45.9,43.3,1995,9,4
67.5,35.6,1995,9,1
69.4,35.6,1995,9,4
74.5,34.3,1995,9,4
75.3,34,1995,9,2
-1.1,35.3,1995,8,2
4.9,36.7,1995,8,2
6.2,36.4,1995,8,2
16.6,44.7,1995,8,2
18.7,45.6,1995,8,4
30.7,27.9,1995,8,1
32.7,23.1,1995,8,2
35.1,31.5,1995,8,5
36,36.2,1995,8,1
40.3,39,1995,8,1
41.7,38.7,1995,8,3
42.8,37.2,1995,8,1
43.7,37.6,1995,8,2
45.7,43.1,1995,8,2
45.9,36,1995,8,1
46.4,43.1,1995,8,2
66.2,35.9,1995,8,1
67.2,34.8,1995,8,1
67.3,35.8,1995,8,1
74.7,32.6,1995,8,2
74.8,32.7,1995,8,1
75.5,33.2,1995,8,3
-6.1,14.7,1995,7,1
-3.7,40.4,1995,7,2
0.3,34.7,1995,7,2
2,36.3,1995,7,1
2.7,33.6,1995,7,3
7.4,36.4,1995,7,2
16.4,45.5,1995,7,2
18.3,43.9,1995,7,3
31.3,27.1,1995,7,2
35.6,33.5,1995,7,2
38,38.5,1995,7,1
38.1,39.4,1995,7,1
41,37.4,1995,7,2
41.3,38.4,1995,7,2
41.4,37.4,1995,7,3
41.8,37.6,1995,7,3
42,38.3,1995,7,2
42.3,38.4,1995,7,1
43.4,38.1,1995,7,2
43.4,38.3,1995,7,2
44,39.9,1995,7,3
45.1,43.1,1995,7,2
45.7,36.8,1995,7,1
45.7,42.9,1995,7,2
46.2,31,1995,7,1
64.8,36.2,1995,7,2
67.3,36,1995,7,1
70,35,1995,7,1
-16.6,12.4,1995,6,2
-16.5,12.5,1995,6,1
1.3,35.4,1995,6,3
4.2,36.8,1995,6,4
7.2,33.2,1995,6,2
18.4,44.9,1995,6,2
30.2,11,1995,6,1
35.3,33.1,1995,6,2
37.4,39.2,1995,6,1
40,39,1995,6,4
40.6,38.5,1995,6,3
41,38.8,1995,6,2
41.3,37.4,1995,6,1
41.5,39.6,1995,6,1
41.7,39,1995,6,3
41.8,37.3,1995,6,3
45.5,43.4,1995,6,1
45.8,41,1995,6,1
46,43.3,1995,6,1
64,31,1995,6,1
65,33,1995,6,2
65.3,34.5,1995,6,1
66.4,35.9,1995,6,3
69,36.5,1995,6,1
3.6,36.5,1995,5,1
5.4,36.2,1995,5,2
17.8,44.2,1995,5,1
18,43.3,1995,5,1
18,44.4,1995,5,1
18.1,44.7,1995,5,3
27.1,38.4,1995,5,1
29,41,1995,5,4
30.8,28.4,1995,5,1
32.2,26.1,1995,5,2
35.4,33.2,1995,5,2
35.5,33.7,1995,5,2
37.8,39.9,1995,5,1
39.8,39.6,1995,5,1
41.5,40,1995,5,3
41.9,38.6,1995,5,1
63.3,35.6,1995,5,1
65.4,34.7,1995,5,1
68.4,37,1995,5,1
69.1,38.6,1995,5,2
69.7,36,1995,5,1
70.8,39.2,1995,5,3
74.4,34.1,1995,5,1
74.4,34.9,1995,5,4
74.9,33.8,1995,5,3
75.6,33.1,1995,5,3
-16,12.8,1995,4,1
3.2,13,1995,4,1
3.7,34.3,1995,4,1
12.8,19,1995,4,1
14.5,13.5,1995,4,1
17.3,45.2,1995,4,3
18,44.7,1995,4,2
18.3,45.1,1995,4,2
18.9,44.4,1995,4,1
30.8,27.3,1995,4,2
34.2,31.3,1995,4,2
35.1,31.9,1995,4,1
37,40.6,1995,4,2
39.6,39.2,1995,4,2
40.1,38.7,1995,4,1
40.8,38.2,1995,4,1
40.9,37.6,1995,4,1
40.9,38.1,1995,4,1
41.5,38.7,1995,4,2
42.1,37.7,1995,4,4
42.4,37.7,1995,4,2
43.1,40.5,1995,4,2
43.4,40.4,1995,4,1
43.8,37.3,1995,4,1
43.9,39.2,1995,4,1
44.2,33.3,1995,4,1
44.3,37.2,1995,4,1
44.5,37.7,1995,4,1
45.3,43,1995,4,2
64.2,34.2,1995,4,1
67.5,35.8,1995,4,1
67.7,35.8,1995,4,1
68.5,38.7,1995,4,1
74.8,32.8,1995,4,1
-2,43.3,1995,3,3
-1.3,34.9,1995,3,1
0.1,36,1995,3,1
3.5,36.7,1995,3,1
3.8,36.7,1995,3,1
4.6,36.8,1995,3,1
5.5,36.2,1995,3,1
7,35,1995,3,1
7.6,36.8,1995,3,1
7.8,36.9,1995,3,2
7.9,36.2,1995,3,1
13.3,13.7,1995,3,1
15.4,44.5,1995,3,1
16.7,45,1995,3,1
17,45.3,1995,3,1
18,44.6,1995,3,2
18.5,44.5,1995,3,1
19,44.6,1995,3,1
30.8,28,1995,3,1
31.3,27,1995,3,1
32.1,26.1,1995,3,1
32.8,39.9,1995,3,1
34.5,31.5,1995,3,1
35.3,33.2,1995,3,2
35.8,33.6,1995,3,1
38.5,39.3,1995,3,2
39,39.6,1995,3,1
39.4,39.2,1995,3,3
39.5,38.5,1995,3,2
39.9,39.5,1995,3,2
40.3,37.4,1995,3,1
40.5,37.5,1995,3,1
40.5,38.6,1995,3,1
41.1,38.4,1995,3,1
42,37.7,1995,3,2
42,38.2,1995,3,2
42,38.6,1995,3,1
