year,mean_divergence,max_divergence,n_countries
1995,2.6846,4.18,13
1996,0.3157,1.55,13
1997,0.3349,1.6842,13
1998,1.5328,2.737,13
1999,1.6573,2.962,13
2000,0.297,1.859,13
2001,0.9707,5.3293,13
2002,0.7543,5.0693,13
2003,1.0707,7.0354,13
2004,0.67490000000000006,4.1456,13
2005,0.5681,3.7492,13
2006,0.5738,3.8543,13
2007,0.4459,3.0681,13
2008,0.3563,2.1528,13
2009,0.434,2.2038,13
2010,0.3673,2.5847,13
2011,0.4748,2.8596,13
2012,0.4127,2.4819,13
2013,0.4538,2.7016,13
2014,0.681,2.9552,13
2015,0.6796,3.0078,13
2016,0.6714,2.6482,13
2017,0.5249,2.728,13
2018,0.5889,3.2214,13
2019,0.4419,2.5864,13
2020,0.503,2.2017,13
2021,0.5123,2.4398,13
2022,2.0236,3.5563,13
2023,2.335,3.8597,13
