country,n_flagged,max_cooks_d,mean_cooks_d
LV,8,0.034405,0.007362
LT,7,0.027101,0.005551
GR,4,0.044312,0.005564
HR,3,0.020187,0.002987
EE,3,0.015644,0.002946
BG,2,0.099434,0.013261
ES,2,0.010385,0.001522
CZ,1,0.020912,0.00242
PL,1,0.020669,0.001501
RO,1,0.017379,0.002613
SI,1,0.008923,0.001667
BE,0,0.005445,0.001132
SK,0,0.00496,0.001175
FI,0,0.0048,8.35e-4
HU,0,0.004725,9.45e-4
NO,0,0.004291,6.37e-4
IT,0,0.004111,5.33e-4
DK,0,0.003306,4.1e-4
PT,0,0.00317,6.04e-4
FR,0,0.002546,5.28e-4
NL,0,0.00248,3.58e-4
DE,0,0.002085,5.5e-4
