year,gr_threat,gr_defence,mean_threat,mean_defence
1995,5.852429647953113,3.09663675025723,5.2209,2.0965
1996,0.5539907415369993,3.23732069026365,0.3346,2.0103
1997,1.3837376334148244,3.29602741401833,0.5738,1.9993
1998,4.581002760382426,3.45541464568208,3.0396,1.8985
1999,4.953272000393167,3.49420868804542,3.4754,1.833
2000,0.7522708722829671,3.59479870587568,0.2633,1.7593
2001,3.2476999246289386,3.35627566229104,1.7232,1.7641
2002,0.1673665609190622,3.16565671755075,0.4106,1.7868
2003,0,2.56278132746133,0,1.7317
2004,0.006748152583640748,2.67202808458836,0.0197,1.6704
2005,1.402744008627987,2.90167987543818,0.3035,1.6396
2006,0.020260129742015506,2.82969288184235,0.0563,1.5856
2007,0,2.71917513817491,0,1.5372
2008,0,3.02372412926418,0,1.5515
2009,0.08957496920650057,3.26904009456305,0.3824,1.5721
2010,0,2.75678087939637,0,1.4672
2011,0.49551921202978283,2.52021146748907,0.0659,1.3898
2012,0.7060940109114873,2.47639628901893,0.2642,1.3746
2013,0.028833527226985747,2.39130807647224,0.0756,1.3447
2014,0.9912972749308951,2.36784026258467,1.0038,1.331
2015,0,2.47743424261411,0,1.3643
2016,0.7107284558140915,2.57279833754101,0.3943,1.4142
2017,1.5253124014390904,2.556623889921,0.2876,1.4374
2018,0.46628280416249257,2.70054108209766,0.1048,1.5108
2019,0.01265751922505035,2.59648367110305,0.1197,1.6413
2020,0.0015372091026336413,3.02310765728834,0.052,1.7362
2021,0.018407718333753268,3.80247367841764,0.0726,1.7074
2022,5.813650198961327,4.00035246143373,5.3054,1.776
2023,5.802577075821533,2.88325472633445,5.2148,1.9635
