country,year,has_immigration
BE,1995,FALSE
BE,1996,FALSE
BE,1997,FALSE
BE,1998,TRUE
BE,1999,TRUE
BE,2000,TRUE
BE,2001,TRUE
BE,2002,TRUE
BE,2003,TRUE
BE,2004,TRUE
BE,2005,TRUE
BE,2006,TRUE
BE,2007,TRUE
BE,2008,FALSE
BE,2009,FALSE
BE,2010,TRUE
BE,2011,TRUE
BE,2012,TRUE
BE,2013,TRUE
BE,2014,TRUE
BE,2015,TRUE
BE,2016,TRUE
BE,2017,TRUE
BE,2018,TRUE
BE,2019,TRUE
BE,2020,TRUE
BE,2021,TRUE
BE,2022,TRUE
BE,2023,TRUE
BG,1995,FALSE
BG,1996,FALSE
BG,1997,FALSE
BG,1998,FALSE
BG,1999,FALSE
BG,2000,FALSE
BG,2001,FALSE
BG,2002,FALSE
BG,2003,FALSE
BG,2004,FALSE
BG,2005,FALSE
BG,2006,FALSE
BG,2007,TRUE
BG,2008,FALSE
BG,2009,FALSE
BG,2010,FALSE
BG,2011,FALSE
BG,2012,TRUE
BG,2013,TRUE
BG,2014,TRUE
BG,2015,TRUE
BG,2016,TRUE
BG,2017,TRUE
BG,2018,TRUE
BG,2019,TRUE
BG,2020,TRUE
BG,2021,TRUE
BG,2022,TRUE
BG,2023,TRUE
CZ,1995,FALSE
CZ,1996,FALSE
CZ,1997,FALSE
CZ,1998,FALSE
CZ,1999,FALSE
CZ,2000,FALSE
CZ,2001,TRUE
CZ,2002,TRUE
CZ,2003,TRUE
CZ,2004,TRUE
CZ,2005,TRUE
CZ,2006,TRUE
CZ,2007,TRUE
CZ,2008,TRUE
CZ,2009,TRUE
CZ,2010,TRUE
CZ,2011,TRUE
CZ,2012,TRUE
CZ,2013,TRUE
CZ,2014,TRUE
CZ,2015,TRUE
CZ,2016,TRUE
CZ,2017,TRUE
CZ,2018,TRUE
CZ,2019,TRUE
CZ,2020,TRUE
CZ,2021,TRUE
CZ,2022,TRUE
CZ,2023,TRUE
DE,1995,FALSE
DE,1996,FALSE
DE,1997,FALSE
DE,1998,TRUE
DE,1999,TRUE
DE,2000,TRUE
DE,2001,TRUE
DE,2002,TRUE
DE,2003,TRUE
DE,2004,TRUE
DE,2005,TRUE
DE,2006,TRUE
DE,2007,TRUE
DE,2008,TRUE
DE,2009,TRUE
DE,2010,TRUE
DE,2011,TRUE
DE,2012,TRUE
DE,2013,TRUE
DE,2014,TRUE
DE,2015,TRUE
DE,2016,TRUE
DE,2017,TRUE
DE,2018,TRUE
DE,2019,TRUE
DE,2020,TRUE
DE,2021,TRUE
DE,2022,TRUE
DE,2023,TRUE
DK,1995,FALSE
DK,1996,FALSE
DK,1997,FALSE
DK,1998,TRUE
DK,1999,TRUE
DK,2000,TRUE
DK,2001,TRUE
DK,2002,TRUE
DK,2003,TRUE
DK,2004,TRUE
DK,2005,TRUE
DK,2006,TRUE
DK,2007,TRUE
DK,2008,TRUE
DK,2009,TRUE
DK,2010,TRUE
DK,2011,TRUE
DK,2012,TRUE
DK,2013,TRUE
DK,2014,TRUE
DK,2015,TRUE
DK,2016,TRUE
DK,2017,TRUE
DK,2018,TRUE
DK,2019,TRUE
DK,2020,TRUE
DK,2021,TRUE
DK,2022,TRUE
DK,2023,TRUE
EE,1995,FALSE
EE,1996,FALSE
EE,1997,FALSE
EE,1998,FALSE
EE,1999,FALSE
EE,2000,TRUE
EE,2001,TRUE
EE,2002,TRUE
EE,2003,TRUE
EE,2004,TRUE
EE,2005,TRUE
EE,2006,TRUE
EE,2007,TRUE
EE,2008,TRUE
EE,2009,TRUE
EE,2010,TRUE
EE,2011,TRUE
EE,2012,TRUE
EE,2013,TRUE
EE,2014,TRUE
EE,2015,TRUE
EE,2016,TRUE
EE,2017,TRUE
EE,2018,TRUE
EE,2019,TRUE
EE,2020,TRUE
EE,2021,TRUE
EE,2022,TRUE
EE,2023,TRUE
ES,1995,FALSE
ES,1996,FALSE
ES,1997,FALSE
ES,1998,TRUE
ES,1999,TRUE
ES,2000,TRUE
ES,2001,TRUE
ES,2002,TRUE
ES,2003,TRUE
ES,2004,TRUE
ES,2005,TRUE
ES,2006,TRUE
ES,2007,TRUE
ES,2008,TRUE
ES,2009,TRUE
ES,2010,TRUE
ES,2011,TRUE
ES,2012,TRUE
ES,2013,TRUE
ES,2014,TRUE
ES,2015,TRUE
ES,2016,TRUE
ES,2017,TRUE
ES,2018,TRUE
ES,2019,TRUE
ES,2020,TRUE
ES,2021,TRUE
ES,2022,TRUE
ES,2023,TRUE
FI,1995,FALSE
FI,1996,FALSE
FI,1997,FALSE
FI,1998,TRUE
FI,1999,TRUE
FI,2000,TRUE
FI,2001,TRUE
FI,2002,TRUE
FI,2003,TRUE
FI,2004,TRUE
FI,2005,TRUE
FI,2006,TRUE
FI,2007,TRUE
FI,2008,TRUE
FI,2009,TRUE
FI,2010,TRUE
FI,2011,TRUE
