country,in_gpr,region,mean_threat,mean_defence
BG,FALSE,Eastern EU,1.3787,1.9327
CZ,FALSE,Eastern EU,1.0734,1.4026
EE,FALSE,Eastern EU,0.9098,1.7094
HR,FALSE,Eastern EU,1.2453,2.7302
HU,TRUE,Eastern EU,1.2531,1.3103
LT,FALSE,Eastern EU,1.0419,1.2835
LV,FALSE,Eastern EU,0.9947,1.4399
PL,TRUE,Eastern EU,1.1987,1.9812
RO,FALSE,Eastern EU,1.4058,1.8858
SI,FALSE,Eastern EU,1.0826,1.2884
SK,FALSE,Eastern EU,1.1769,1.6197
GB,TRUE,Island (GB),NA,NA
BE,TRUE,Western/Northern EU,0.7199,1.1455
DE,TRUE,Western/Northern EU,1.0104,1.2708
DK,TRUE,Western/Northern EU,0.8052,1.4014
ES,TRUE,Western/Northern EU,0.6355,1.4401
FI,TRUE,Western/Northern EU,0.7977,1.4346
FR,TRUE,Western/Northern EU,0.8808,2.0254
GR,FALSE,Western/Northern EU,1.365,2.9586
IT,TRUE,Western/Northern EU,1.147,1.5278
NL,TRUE,Western/Northern EU,0.7182,1.3709
NO,TRUE,Western/Northern EU,0.6389,1.7218
PT,TRUE,Western/Northern EU,0.3413,1.4532
