country,n_years,mean_threat,sd_threat,min_threat,max_threat,n_zero,pct_zero,mean_score,sd_score,divergence_mean
RO,29,1.4058,2.2361,0,6.9464,5,17.2,5.2026,1.5876,3.7968
BG,29,1.3787,2.1456,0,6.3768,5,17.2,5.2961,1.5333,3.9173
GR,29,1.365,2.0118,0,5.8524,5,17.2,5.6701,1.4765,4.3052
HU,29,1.2531,2.1304,0,6.5176,5,17.2,4.3754,1.4995,3.1223
HR,29,1.2453,2.0916,0,6.7701,5,17.2,4.4743,1.3492,3.2289
PL,29,1.1987,2.0225,0,6.5938,5,17.2,4.1091,1.5774,2.9105
SK,29,1.1769,2.0522,0,6.3635,5,17.2,4.1645,1.5259,2.9877
IT,29,1.147,1.9125,0,6.3539,5,17.2,5.0387,0.9306,3.8917
SI,29,1.0826,1.9439,0,6.4969,5,17.2,4.04,1.2754,2.9574
CZ,29,1.0734,1.9225,0,5.9318,5,17.2,3.8414,1.4108,2.768
LT,29,1.0419,1.8162,0,6.4307,5,17.2,3.5061,1.6573,2.4642
DE,29,1.0104,1.8101,0,5.9348,5,17.2,3.7525,1.1927,2.7421
LV,29,0.9947,1.7351,0,6.2742000000000004,5,17.2,3.3448,1.651,2.3501
EE,29,0.9098,1.6165,0,5.921,5,17.2,3.0332,1.6255,2.1234
FR,29,0.8808,1.5937,0,5.5584,5,17.2,4.2194,0.771,3.3386
DK,29,0.8052,1.5524,0,5.1758,5,17.2,2.8506,1.378,2.0453
FI,29,0.7977,1.4444,0,5.3252,5,17.2,2.5782,1.5487,1.7805
LU,29,0.7201,1.4202,0,4.8904,5,17.2,3.0204,0.9827,2.3003
BE,29,0.7199,1.4027,0,4.8136,5,17.2,2.9942,0.9748,2.2743
NL,29,0.7182,1.4038,0,4.6945,5,17.2,2.8566,1.0373000000000001,2.1385
NO,29,0.6389,1.2775,0,4.4411,5,17.2,2.1863,1.2797,1.5474
ES,29,0.6355,1.2204,0,4.5645,5,17.2,4.3302,0.7451,3.6946
GB,29,0.5946,1.1764,0,4.0996,5,17.2,2.5599,0.8819,1.9653
PT,29,0.3413,0.7334,0,3.0514,5,17.2,3.0101,0.7894,2.6688
